Temporada;Jornada;VS;Goles a Favor;Goles en contra;En casa;Visitante
2006;1;Nueva sevilla B;4;1;0;1
2006;2;Necropolis;6;2;1;0
2006;3;U.D.E. Abre;2;2;0;1
2006;4;Mures;5;2;1;0
2006;5;Espartina Tilde;3;1;0;1
2006;6;Umbrete;0;2;1;0
2006;7;Villafranco;0;0;0;1
2006;8;Alcala Rio;2;2;1;0
2006;9;C.M.D. San Juan;1;2;0;1
2006;10;Santiponce;2;1;1;0
2006;11;Loreto U.D;0;1;0;1
2006;12;Brenes Bpie;2;1;1;0
2006;13;Rinconada;1;0;0;1
2006;14;Triana C.F;3;0;1;0
2006;15;Puebla C.F;4;0;0;1
2006;16;Camino Viejo;3;2;1;0
2006;17;Cantillana;0;0;0;1
2006;18;Cantarrana;4;1;0;1
2006;19;Descansa;;;;
2006;20;Nueva sevilla B;3;0;1;0
2006;21;Necropolis;4;0;0;1
2006;22;U.D.E. Abre;5;1;1;0
2006;23;Mures;5;0;0;1
2006;24;Espartina Tilde;3;0;1;0
2006;25;Umbrete;1;4;0;1
2006;26;Villafranco;1;0;1;0
2006;27;Alcala Rio;2;2;0;1
2006;28;C.M.D. San Juan;3;1;1;0
2006;29;Santiponce;3;0;0;1
2006;30;Loreto U.D;1;0;1;0
2006;31;Brenes Bpie;0;0;0;1
2006;32;Rinconada;0;1;1;0
2006;33;Triana C.F;1;1;0;1
2006;34;Puebla C.F;3;2;1;0
2006;35;Camino Viejo;0;1;0;1
2006;36;Cantillana;13;0;1;0
2006;37;Cantarrana;2;2;1;0
2006;38;Descansa;;;;
2006;39;Diablos Rojos;0;2;0;1
2006;40;Diablos Rojos;4;1;1;0
2007;1;P.D Rociera;0;1;1;0
2007;2;Puebla C.F;0;3;0;1
2007;3;A.D. Carmona;2;1;1;0
2007;4;A.D San Jose;0;0;0;1
2007;5;San Antonio;2;1;1;0
2007;6;Marchena Balompie;3;2;0;1
2007;7;C.D.A.D Nervion;1;1;0;1
2007;8;Atl Algabeño;2;0;1;0
2007;9;Estepa Industrial;1;2;0;1
2007;10;C.M.D. San Juan;1;0;1;0
2007;11;U.B.Lebrjana;2;1;0;1
2007;12;R.C.D Nueva Sevilla;2;2;1;0
2007;13;Real Betis C;1;1;0;1
2007;14;C.D Pino Montano;1;1;1;0
2007;15;A.D Mosqueo;0;0;0;1
2007;16;C.D San Martin;1;0;1;0
2007;17;J.D Bormujos;2;2;0;1
2007;18;P.D Rociera;0;0;0;1
2007;19;Puebla C.F;0;3;1;0
2007;20;A.D. Carmona;1;1;0;1
2007;21;A.D San Jose;0;1;1;0
2007;22;San Antonio;0;3;0;1
2007;23;Marchena Balompie;0;0;1;0
2007;24;C.D.A.D Nervion;3;0;1;0
2007;25;Atl Algabeño;1;2;0;1
2007;26;Estepa Industrial;4;0;1;0
2007;27;C.M.D. San Juan;4;1;0;1
2007;28;U.B.Lebrjana;1;1;1;0
2007;29;R.C.D Nueva Sevilla;1;2;0;1
2007;30;Real Betis C;0;2;1;0
2007;31;C.D Pino Montano;4;3;0;1
2007;32;A.D Mosqueo;3;2;1;0
2007;33;C.D San Martin;0;4;0;1
2007;34;J.D Bormujos;1;5;1;0
2008;1;Atl Algabeño;2;2;1;0
2008;2;La Barrera;2;3;0;1
2008;3;Brenes Bpie;3;0;1;0
2008;4;San Antonio;1;3;0;1
2008;5;Puebla C.F;3;0;1;0
2008;6;Estrella San Agustin;0;0;0;1
2008;7;A.D Mosqueo;2;0;1;0
2008;8;C.D.A.D Nervion;1;1;0;1
2008;9;U.D Moron;0;0;1;0
2008;10;U.B.Lebrjana;2;1;0;1
2008;11;C.D San Martin;2;3;1;0
2008;12;J.D Bormujos;3;0;0;1
2008;13;Torreblanca;5;2;1;0
2008;14;P.D Rociera;1;2;0;1
2008;15;A.D. Carmona;1;2;0;1
2008;16;R.C.D Nueva Sevilla;2;0;1;0
2008;17;Lora;1;0;0;1
2008;18;Atl Algabeño;1;2;0;1
2008;19;La Barrera;2;0;1;0
2008;20;Brenes Bpie;0;2;0;1
2008;21;San Antonio;5;1;1;0
2008;22;Puebla C.F;1;2;0;1
2008;23;Estrella San Agustin;0;1;1;0
2008;24;A.D Mosqueo;1;1;0;1
2008;25;C.D.A.D Nervion;1;3;1;0
2008;26;U.D Moron;0;2;0;1
2008;27;U.B.Lebrjana;1;2;1;0
2008;28;C.D San Martin;1;3;1;0
2008;29;J.D Bormujos;4;2;1;0
2008;30;Torreblanca;1;2;0;1
2008;31;P.D Rociera;3;0;1;0
2008;32;A.D. Carmona;3;1;1;0
2008;33;R.C.D Nueva Sevilla;4;2;0;1
2008;34;Lora;2;0;1;0
2009;1;Peña Del Rociera;2;1;1;0
2009;2;Camas;3;1;0;1
2009;3;C.D.A.D Nervion;2;2;1;0
2009;4;Huevar;0;6;0;1
2009;5;Triana C.F;0;1;0;1
2009;6;Lebrijana;1;3;1;0
2009;7;Estrella San Agustin;2;2;0;1
2009;8;Torreblanca;4;0;1;0
2009;9;Atl Algabeño;2;1;0;1
2009;10;Bellavista;0;3;1;0
2009;11;Brenes Bpie;2;6;0;1
2009;12;Villaverde;1;3;1;0
2009;13;Puebla C.F;0;1;0;1
2009;14;San Martin;4;1;1;0
2009;15;U.D Pilas;0;1;0;1
2009;16;U.D Tomares;0;5;1;0
2009;17;Lora;0;1;0;1
2009;18;P.D Rociera;0;1;0;1
2009;19;Camas;4;0;1;0
2009;20;C.D.A.D Nervion;1;4;0;1
2009;21;Huevar;1;3;1;0
2009;22;Triana C.F;0;0;1;0
2009;23;Lebrijana;0;1;0;1
2009;24;Estrella San Agustin;2;1;1;0
2009;25;Torreblanca;1;1;0;1
2009;26;Atl Algabeño;0;1;1;0
2009;27;Bellavista;2;3;0;1
2009;28;Brenes Bpie;2;4;1;0
2009;29;Villaverde;2;2;0;1
2009;30;Puebla C.F;1;0;1;0
2009;31;San Martin;1;2;0;1
2009;32;U.D Pilas;3;2;1;0
2009;33;U.D Tomares;3;2;0;1
2009;34;Lora;2;0;1;0
2010;1;Atl Algabeño;4;1;1;0
2010;2;Triana C.F;0;1;0;1
2010;3;C.D.A.D Nervion;0;0;1;0
2010;4;A.D Mosqueo;0;1;0;1
2010;5;U.B.Lebrjana;1;3;1;0
2010;6;C.D Cabecense;1;2;0;1
2010;7;Lora;1;2;1;0
2010;8;C.D Gerena;1;4;0;1
2010;9;Estrella San Agustin;1;3;1;0
2010;10;Camino Viejo;1;0;1;0
2010;11;C.D Pedrera;0;0;0;1
2010;12;Villaverde;0;1;1;0
2010;13;Ciudad Jardin;3;3;0;1
2010;14;U.D Moron;0;1;1;0
2010;15;Bellavista;4;1;0;1
2010;16;Huevar;0;2;1;0
2010;17;Descansa;;;;
2010;18;Puebla C.F;3;0;1;0
2010;19;U.D Tomares;5;1;0;1
2010;20;Atl Algabeño;2;0;0;1
2010;21;Triana C.F;1;1;1;0
2010;22;C.D.A.D Nervion;0;2;0;1
2010;23;A.D Mosqueo;1;1;1;0
2010;24;U.B.Lebrjana;0;0;0;1
